City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,qaqortoq,60.7167,-46.0333,26.2,73,44,8.77,GL,1699731665
346,hafar al-batin,28.4328,45.9708,68.58,34,0,5.75,SA,1699732129
347,yanam,16.7333,82.2167,75.27,79,18,4.21,IN,1699732130
348,kapa'a,22.0752,-159.319,82.38,80,100,11.5,US,1699731752
349,loches,47.1333,1.0,48.54,85,100,8.1,FR,1699732133
350,menongue,-14.6585,17.691,65.52,79,73,3.94,AO,1699732134
351,gebeit,21.0667,36.3167,76.3,65,1,8.37,SD,1699731800
352,vif,45.05,5.6667,46.15,87,97,3.27,FR,1699732136
353,belyy yar,53.6039,91.3903,8.49,85,100,0.0,RU,1699731429
354,santa eulalia,-11.85,-76.6833,63.64,49,14,10.8,PE,1699732138
355,kharan,28.5833,65.4167,64.94,16,4,4.56,PK,1699732139
356,springs,-26.25,28.4,73.69,65,47,6.93,ZA,1699732141
357,taltal,-25.4,-70.4833,68.13,63,22,8.43,CL,1699731719
358,new shagunnu,10.3396,4.4688,85.17,45,55,2.15,NG,1699732143
359,mikhaylovka,50.06,43.2379,41.79,70,100,14.32,RU,1699732144
360,cill airne,52.05,-9.5167,45.66,92,100,17.45,IE,1699732146
361,santa isabel,-23.3156,-46.2214,94.3,28,15,6.31,BR,1699732147
362,usinsk,65.9939,57.5281,24.08,92,100,10.0,RU,1699732148
363,berezovyy,51.6667,135.7,13.37,60,12,4.68,RU,1699731942
364,egilsstadir,65.2653,-14.3948,19.31,86,0,4.61,IS,1699731685
